name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
"/model.16/m.0/cv2/conv/Conv + PWN(PWN(/model.16/m.0/cv2/act/Sigmoid), PWN(/model.16/m.0/cv2/act/Mul))",0.00855929,0.00848,0.532266,model.16,m.0/cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"Reformatting CopyNode for Output Tensor 0 to /model.16/m.0/cv2/conv/Conv + PWN(PWN(/model.16/m.0/cv2/act/Sigmoid), PWN(/model.16/m.0/cv2/act/Mul))",0.00905873,0.008992,0.563324,model.16,m.0/cv2,True,False,True,True,True,reformat,False,PTQ
"/model.16/m.0/cv3/conv/Conv + PWN(PWN(/model.16/m.0/cv3/act/Sigmoid), PWN(/model.16/m.0/cv3/act/Mul))",0.0085043,0.00848,0.528847,model.16,m.0/cv3,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.16/Split_output_0 copy,0.00638577,0.006368,0.397104,model.16,,False,False,False,False,False,other,False,PTQ
/model.16/Split_output_1 copy,0.00619208,0.006112,0.385059,model.16,,False,False,False,False,False,other,False,PTQ
"/model.16/cv2/conv/Conv + PWN(PWN(/model.16/cv2/act/Sigmoid), PWN(/model.16/cv2/act/Mul))",0.00907262,0.008992,0.564188,model.16,cv2,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.17/conv/Conv + PWN(PWN(/model.17/act/Sigmoid), PWN(/model.17/act/Mul))",0.00977616,0.00976,0.607938,model.17,conv,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
/model.13/cv2/act/Mul_output_0 copy,0.00636783,0.006368,0.395988,model.13,cv2,False,False,False,False,False,other,False,PTQ
"/model.19/cv1/conv/Conv + PWN(PWN(/model.19/cv1/act/Sigmoid), PWN(/model.19/cv1/act/Mul))",0.00896774,0.00896,0.557666,model.19,cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
"/model.19/m.0/cv1/conv/Conv + PWN(PWN(/model.19/m.0/cv1/act/Sigmoid), PWN(/model.19/m.0/cv1/act/Mul))",0.00805736,0.007968,0.501053,model.19,m.0/cv1,True,False,True,True,False,"conv+SiLU (fused, Q folded in)",False,PTQ
